id,c_codigopostal,c_estado,c_municipio,c_localidad
catalogos_codigo_postal303,20301,AGU,,
catalogos_codigo_postal304,20302,AGU,,
catalogos_codigo_postal305,20303,AGU,11,3
catalogos_codigo_postal306,20304,AGU,11,3
catalogos_codigo_postal307,20305,AGU,11,3
catalogos_codigo_postal308,20306,AGU,,
catalogos_codigo_postal309,20307,AGU,,
catalogos_codigo_postal310,20308,AGU,,
catalogos_codigo_postal311,20309,AGU,,
catalogos_codigo_postal312,20310,AGU,1,
catalogos_codigo_postal313,20311,AGU,1,
catalogos_codigo_postal314,20312,AGU,,
catalogos_codigo_postal315,20313,AGU,1,
catalogos_codigo_postal316,20314,AGU,1,
catalogos_codigo_postal317,20315,AGU,1,
catalogos_codigo_postal318,20316,AGU,1,
catalogos_codigo_postal319,20317,AGU,1,
catalogos_codigo_postal320,20318,AGU,,
catalogos_codigo_postal321,20319,AGU,1,
catalogos_codigo_postal322,20320,AGU,1,
catalogos_codigo_postal323,20321,AGU,1,
catalogos_codigo_postal324,20322,AGU,1,
catalogos_codigo_postal325,20323,AGU,1,
catalogos_codigo_postal326,20324,AGU,1,
catalogos_codigo_postal327,20325,AGU,,
catalogos_codigo_postal328,20326,AGU,1,
catalogos_codigo_postal329,20327,AGU,,
catalogos_codigo_postal330,20328,AGU,1,
catalogos_codigo_postal331,20329,AGU,1,
catalogos_codigo_postal332,20330,AGU,10,
catalogos_codigo_postal333,20331,AGU,,
catalogos_codigo_postal334,20332,AGU,,
catalogos_codigo_postal335,20333,AGU,10,
catalogos_codigo_postal336,20334,AGU,10,
catalogos_codigo_postal337,20335,AGU,10,
catalogos_codigo_postal338,20336,AGU,10,
catalogos_codigo_postal339,20337,AGU,10,
catalogos_codigo_postal340,20338,AGU,10,
catalogos_codigo_postal341,20339,AGU,10,
catalogos_codigo_postal342,20340,AGU,1,
catalogos_codigo_postal343,20341,AGU,1,
catalogos_codigo_postal344,20342,AGU,1,
catalogos_codigo_postal345,20343,AGU,,
catalogos_codigo_postal346,20344,AGU,1,
catalogos_codigo_postal347,20345,AGU,1,
catalogos_codigo_postal348,20346,AGU,1,
catalogos_codigo_postal349,20347,AGU,,
catalogos_codigo_postal350,20348,AGU,1,
catalogos_codigo_postal351,20349,AGU,1,
catalogos_codigo_postal352,20350,AGU,11,
catalogos_codigo_postal353,20351,AGU,,
catalogos_codigo_postal354,20352,AGU,,
catalogos_codigo_postal355,20353,AGU,11,
catalogos_codigo_postal356,20354,AGU,,
catalogos_codigo_postal357,20355,AGU,11,
catalogos_codigo_postal358,20356,AGU,11,
catalogos_codigo_postal359,20357,AGU,11,
catalogos_codigo_postal360,20358,AGU,11,
catalogos_codigo_postal361,20359,AGU,,
catalogos_codigo_postal362,20360,AGU,,
catalogos_codigo_postal363,20361,AGU,,
catalogos_codigo_postal364,20362,AGU,,
catalogos_codigo_postal365,20363,AGU,1,
