id,c_patente_aduanal,fecha_inicio_vigencia,fecha_fin_vigencia
catalogos_patente370,818,2001-05-17,
catalogos_patente371,819,2001-05-15,
catalogos_patente372,820,2001-05-15,
catalogos_patente373,821,2001-05-16,
catalogos_patente374,822,2001-05-14,
catalogos_patente375,823,2001-05-21,
catalogos_patente376,825,2001-05-21,
catalogos_patente377,828,2001-05-14,
catalogos_patente378,829,2001-05-15,
catalogos_patente379,830,2001-05-23,
catalogos_patente380,831,2002-06-10,
catalogos_patente381,832,2001-05-21,
catalogos_patente382,833,2001-05-22,
catalogos_patente383,834,2001-05-14,
catalogos_patente384,835,2001-05-17,
catalogos_patente385,836,2001-05-15,
catalogos_patente386,837,2001-05-21,
catalogos_patente387,838,2001-05-21,
catalogos_patente388,839,2002-09-10,
catalogos_patente389,840,2001-05-17,
catalogos_patente390,841,2001-11-27,
catalogos_patente391,842,2001-05-11,
catalogos_patente392,843,2001-05-23,
catalogos_patente393,844,2001-05-21,
catalogos_patente394,845,2001-05-15,
catalogos_patente395,846,2001-05-15,
catalogos_patente396,847,2001-05-18,
catalogos_patente397,848,2001-05-15,
catalogos_patente398,849,2001-05-23,
catalogos_patente399,850,2001-05-15,
catalogos_patente400,851,2001-05-23,
catalogos_patente401,852,2001-05-22,
catalogos_patente402,853,2001-05-18,
catalogos_patente403,854,2001-05-17,
catalogos_patente404,855,2001-05-15,
catalogos_patente405,856,2001-05-18,
catalogos_patente406,857,2001-05-15,
catalogos_patente407,858,2001-05-21,
catalogos_patente408,859,2001-05-17,
catalogos_patente409,860,2001-05-21,
catalogos_patente410,862,2001-05-15,
catalogos_patente411,863,2001-05-21,
catalogos_patente412,864,2001-05-21,
catalogos_patente413,867,2001-05-23,
catalogos_patente414,868,2001-05-16,
catalogos_patente415,869,2001-05-15,
catalogos_patente416,870,2001-05-18,
catalogos_patente417,871,2001-05-17,
catalogos_patente418,872,2002-06-10,
catalogos_patente419,873,2001-05-22,
catalogos_patente420,875,2001-05-17,
catalogos_patente421,876,2001-05-21,
catalogos_patente422,877,2001-05-16,
catalogos_patente423,878,2001-05-07,
catalogos_patente424,879,2001-05-21,
catalogos_patente425,880,2001-05-11,
catalogos_patente426,881,2001-05-21,
catalogos_patente427,882,2001-05-17,
catalogos_patente428,883,2001-05-17,
catalogos_patente429,884,2001-05-21,
catalogos_patente430,885,2001-05-21,
catalogos_patente431,886,2001-05-22,
catalogos_patente432,887,2001-05-21,
catalogos_patente433,888,2001-05-23,
catalogos_patente434,889,2001-05-18,
catalogos_patente435,890,2001-05-16,
catalogos_patente436,891,2001-05-17,
catalogos_patente437,892,2001-05-21,
catalogos_patente438,895,2001-05-17,
catalogos_patente439,896,2001-05-18,
catalogos_patente440,897,2001-05-14,
catalogos_patente441,898,2001-05-14,
catalogos_patente442,899,2001-05-21,
catalogos_patente443,900,2001-05-16,
catalogos_patente444,901,2001-05-18,
catalogos_patente445,902,2001-05-15,
catalogos_patente446,903,2001-05-18,
catalogos_patente447,904,2001-05-18,
catalogos_patente448,905,2001-05-15,
catalogos_patente449,906,2001-05-23,
catalogos_patente450,907,2001-05-15,
catalogos_patente451,908,2001-05-18,
catalogos_patente452,909,2001-05-16,
catalogos_patente453,910,2001-05-17,
catalogos_patente454,911,2001-05-15,
catalogos_patente455,912,2001-05-18,
catalogos_patente456,913,2001-05-21,
catalogos_patente457,914,2001-05-08,
catalogos_patente458,915,2001-05-07,
catalogos_patente459,916,2001-05-21,
catalogos_patente460,917,2001-05-16,
catalogos_patente461,918,2001-05-23,
catalogos_patente462,919,2001-05-22,
catalogos_patente463,920,2001-05-16,
catalogos_patente464,921,2001-05-16,
catalogos_patente465,922,2001-05-14,
catalogos_patente466,925,2001-05-14,
catalogos_patente467,926,2001-05-21,
catalogos_patente468,927,2001-05-22,
catalogos_patente469,928,2001-05-18,
catalogos_patente470,929,2001-05-22,
catalogos_patente471,930,2001-05-18,
catalogos_patente472,931,2001-05-18,
catalogos_patente473,932,2001-05-17,
catalogos_patente474,933,2001-05-22,
catalogos_patente475,934,2001-05-14,
catalogos_patente476,935,2001-05-14,
catalogos_patente477,936,2001-05-14,
catalogos_patente478,937,2001-05-14,
catalogos_patente479,938,2001-05-17,
catalogos_patente480,939,2001-05-18,
catalogos_patente481,940,2001-05-14,
catalogos_patente482,941,2001-05-14,
catalogos_patente483,942,2001-05-14,
catalogos_patente484,943,2001-05-14,
catalogos_patente485,944,2001-05-16,
catalogos_patente486,945,2001-05-15,
catalogos_patente487,946,2001-05-17,
catalogos_patente488,947,2001-05-16,
catalogos_patente489,948,2001-05-18,
catalogos_patente490,949,2001-05-21,
catalogos_patente491,950,2001-05-17,
catalogos_patente492,951,2001-05-14,
catalogos_patente493,952,2001-05-22,
catalogos_patente494,953,2001-05-21,
catalogos_patente495,954,2001-05-22,
catalogos_patente496,955,2001-05-21,
catalogos_patente497,956,2001-05-21,
catalogos_patente498,957,2001-05-21,
catalogos_patente499,958,2001-05-11,
catalogos_patente500,959,2001-05-16,
catalogos_patente501,960,2001-05-21,
catalogos_patente502,961,2001-05-15,
catalogos_patente503,962,2001-09-03,
catalogos_patente504,963,2001-05-23,
catalogos_patente505,964,2001-05-21,
catalogos_patente506,965,2001-05-21,
catalogos_patente507,966,2001-05-16,
catalogos_patente508,967,2001-05-21,
catalogos_patente509,968,2001-05-21,
catalogos_patente510,969,2001-05-16,
catalogos_patente511,970,2001-05-22,
catalogos_patente512,971,2001-05-21,
catalogos_patente513,972,2001-05-16,
catalogos_patente514,973,2001-05-14,
catalogos_patente515,974,2001-05-23,
catalogos_patente516,975,2001-05-16,
catalogos_patente517,976,2001-05-21,
catalogos_patente518,977,2001-05-15,
catalogos_patente519,978,2001-05-21,
catalogos_patente520,979,2001-05-21,
catalogos_patente521,980,2001-08-23,
catalogos_patente522,981,2001-05-21,
catalogos_patente523,982,2001-05-07,
catalogos_patente524,983,2001-05-22,
catalogos_patente525,984,2001-05-16,
catalogos_patente526,985,2002-08-16,
catalogos_patente527,986,2001-05-14,
catalogos_patente528,987,2001-05-15,
catalogos_patente529,988,2001-05-18,
catalogos_patente530,989,2001-05-21,
catalogos_patente531,990,2001-05-17,
catalogos_patente532,991,2001-05-21,
catalogos_patente533,992,2001-05-16,
catalogos_patente534,993,2001-05-14,
catalogos_patente535,994,2001-05-14,
catalogos_patente536,995,2001-05-15,
catalogos_patente537,997,2001-05-17,
catalogos_patente538,999,2001-05-14,
catalogos_patente539,1000,2001-05-14,
catalogos_patente540,1001,2001-05-21,
catalogos_patente541,1002,2002-05-29,
catalogos_patente542,1003,2001-05-15,
catalogos_patente543,1004,2001-05-23,
catalogos_patente544,1005,2001-05-18,
catalogos_patente545,1006,2001-05-16,
catalogos_patente546,1007,2001-05-18,
catalogos_patente547,1008,2001-05-16,
catalogos_patente548,1009,2001-05-14,
catalogos_patente549,1010,2001-05-18,
catalogos_patente550,1011,2001-05-21,
catalogos_patente551,1012,2002-12-09,
catalogos_patente552,1013,2001-05-21,
catalogos_patente553,1014,2001-05-21,
catalogos_patente554,1015,2001-05-18,
catalogos_patente555,1016,2001-05-18,
catalogos_patente556,1017,2001-05-18,
catalogos_patente557,1018,2001-05-15,
catalogos_patente558,1019,2001-05-14,
catalogos_patente559,1020,2001-05-15,
catalogos_patente560,1021,2001-05-22,
catalogos_patente561,1022,2001-05-16,
catalogos_patente562,1023,2001-05-21,
catalogos_patente563,1024,2001-05-21,
catalogos_patente564,1025,2001-05-14,
catalogos_patente565,1026,2001-05-18,
catalogos_patente566,1027,2001-05-11,
catalogos_patente567,1028,2001-05-17,
catalogos_patente568,1029,2001-05-18,
catalogos_patente569,1030,2001-05-18,
catalogos_patente570,1031,2001-05-21,
catalogos_patente571,1032,2001-05-17,
catalogos_patente572,1033,2001-05-18,
catalogos_patente573,1034,2001-05-16,
catalogos_patente574,1035,2001-05-18,
catalogos_patente575,1036,2001-05-11,
catalogos_patente576,1037,2001-05-21,
catalogos_patente577,1038,2001-05-18,
catalogos_patente578,1039,2001-05-17,
catalogos_patente579,1040,2001-05-16,
catalogos_patente580,1041,2001-05-11,
catalogos_patente581,1042,2001-05-21,
catalogos_patente582,1043,2001-05-17,
catalogos_patente583,1044,2001-05-21,
catalogos_patente584,1045,2001-05-17,
catalogos_patente585,1046,2001-05-15,
catalogos_patente586,1047,2001-05-17,
catalogos_patente587,1048,2001-05-15,
catalogos_patente588,1049,2001-05-21,
catalogos_patente589,1050,2001-05-11,
catalogos_patente590,1051,2001-05-18,
catalogos_patente591,1052,2001-05-18,
catalogos_patente592,1054,2001-05-14,
catalogos_patente593,1055,2001-05-17,
catalogos_patente594,1056,2001-05-18,
catalogos_patente595,1057,2001-05-14,
catalogos_patente596,1058,2001-05-21,
catalogos_patente597,1059,2001-05-23,
catalogos_patente598,1060,2001-05-21,
catalogos_patente599,1061,2001-05-22,
catalogos_patente600,1062,2001-05-15,
catalogos_patente601,1063,2001-05-15,
catalogos_patente602,1064,2001-05-16,
catalogos_patente603,1065,2001-05-16,
catalogos_patente604,1066,2001-05-18,
catalogos_patente605,1067,2001-05-17,
catalogos_patente606,1068,2001-05-17,
catalogos_patente607,1069,2001-05-18,
catalogos_patente608,1070,2001-05-18,
catalogos_patente609,1071,2001-05-17,
catalogos_patente610,1072,2001-05-17,
catalogos_patente611,1073,2001-05-17,
catalogos_patente612,1074,2001-05-21,
catalogos_patente613,1075,2001-05-18,
catalogos_patente614,1076,2001-05-17,
catalogos_patente615,1077,2001-05-17,
catalogos_patente616,1078,2001-05-18,
catalogos_patente617,1079,2001-05-17,
catalogos_patente618,1080,2001-05-14,
catalogos_patente619,1081,2001-05-21,
catalogos_patente620,1082,2001-05-17,
catalogos_patente621,1084,2001-05-21,
catalogos_patente622,1085,2001-05-11,
catalogos_patente623,1086,2001-05-17,
catalogos_patente624,1087,2001-05-22,
catalogos_patente625,1088,2001-05-16,
catalogos_patente626,1089,2001-05-21,
catalogos_patente627,1090,2002-05-29,
catalogos_patente628,1092,2001-05-14,
catalogos_patente629,1094,2001-05-17,
catalogos_patente630,1095,2001-05-22,
catalogos_patente631,1096,2001-05-15,
catalogos_patente632,1097,2001-05-21,
catalogos_patente633,1098,2001-05-21,
catalogos_patente634,1099,2001-05-18,
catalogos_patente635,1100,2001-05-15,
catalogos_patente636,1102,2001-05-18,
catalogos_patente637,1103,2001-05-16,
catalogos_patente638,1104,2001-05-17,
catalogos_patente639,1105,2001-05-15,
catalogos_patente640,1106,2001-05-17,
catalogos_patente641,1107,2001-05-22,
catalogos_patente642,1108,2001-05-15,
catalogos_patente643,1109,2001-05-17,
catalogos_patente644,1111,2001-05-14,
catalogos_patente645,1112,2001-05-24,
catalogos_patente646,1113,2001-05-17,
catalogos_patente647,1114,2001-05-16,
catalogos_patente648,1115,2001-05-11,
catalogos_patente649,1116,2001-05-21,
catalogos_patente650,1117,2001-05-11,
catalogos_patente651,1120,2001-05-15,
catalogos_patente652,1121,2001-05-11,
catalogos_patente653,1122,2001-05-07,
catalogos_patente654,1123,2001-05-15,
catalogos_patente655,1124,2001-05-21,
catalogos_patente656,1125,2001-05-17,
catalogos_patente657,1126,2001-05-21,
catalogos_patente658,1127,2001-05-11,
catalogos_patente659,1128,2001-05-11,
catalogos_patente660,1129,2001-05-14,
catalogos_patente661,1130,2001-05-17,
catalogos_patente662,1132,2001-05-17,
catalogos_patente663,1136,2001-05-14,
catalogos_patente664,1137,2001-05-17,
catalogos_patente665,1138,2001-05-15,
catalogos_patente666,1139,2001-05-17,
catalogos_patente667,1141,2001-05-14,
catalogos_patente668,1142,2003-03-31,
catalogos_patente669,1144,2001-05-18,
catalogos_patente670,1145,2001-05-14,
catalogos_patente671,1148,2001-05-07,
catalogos_patente672,1149,2001-05-18,
catalogos_patente673,1150,2001-05-07,
catalogos_patente674,1152,2001-05-17,
catalogos_patente675,1153,2001-05-21,
catalogos_patente676,1154,2001-05-21,
catalogos_patente677,1155,2001-05-07,
catalogos_patente678,1156,2001-05-18,
catalogos_patente679,1157,2001-05-23,
catalogos_patente680,1158,2001-05-16,
catalogos_patente681,1159,2001-05-18,
catalogos_patente682,1160,2001-05-14,
catalogos_patente683,1161,2001-05-11,
catalogos_patente684,1162,2001-05-18,
catalogos_patente685,1163,2001-05-11,
catalogos_patente686,1164,2001-05-16,
catalogos_patente687,1165,2001-05-18,
catalogos_patente688,1166,2001-05-16,
catalogos_patente689,1167,2001-05-17,
catalogos_patente690,1168,2001-05-17,
catalogos_patente691,1169,2001-05-22,
catalogos_patente692,1170,2001-05-18,
catalogos_patente693,1171,2001-05-21,
catalogos_patente694,1172,2001-05-18,
catalogos_patente695,1173,2001-05-18,
catalogos_patente696,1174,2001-05-11,
catalogos_patente697,1175,2001-05-16,
catalogos_patente698,1176,2001-05-18,
catalogos_patente699,1177,2001-05-18,
catalogos_patente700,1178,2001-05-17,
catalogos_patente701,1179,2001-05-14,
catalogos_patente702,1181,2001-05-14,
catalogos_patente703,1182,2001-05-22,
catalogos_patente704,1186,2001-05-21,
catalogos_patente705,1187,2001-05-21,
catalogos_patente706,1188,2001-05-17,
catalogos_patente707,1189,2001-05-21,
catalogos_patente708,1190,2001-05-21,
catalogos_patente709,1191,2001-05-22,
catalogos_patente710,1192,2001-05-24,
catalogos_patente711,1193,2001-05-18,
catalogos_patente712,1194,2001-05-17,
catalogos_patente713,1195,2001-05-17,
catalogos_patente714,1196,2001-05-22,
catalogos_patente715,1197,2001-05-16,
catalogos_patente716,1198,2001-05-16,
catalogos_patente717,1199,2001-05-21,
catalogos_patente718,1200,2001-05-16,
catalogos_patente719,1201,2001-05-16,
catalogos_patente720,1202,2001-05-21,
catalogos_patente721,1203,2001-05-15,
